IDs	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN11815_c0_g1	305.9026723	2.28070325	0.241958188	1.15E-24	9.54E-22
TRINITY_DN233_c2_g1	695.3045355	2.0823993	0.127033427	1.38E-63	4.58E-60
TRINITY_DN5608_c0_g1	12.7715007	1.827216175	0.522355598	1.33E-07	1.12E-05
TRINITY_DN857_c0_g1	797.4089983	1.645541187	0.098872504	8.25E-65	5.49E-61
TRINITY_DN189_c7_g1	63.07628988	1.632232651	0.239911249	2.25E-14	5.55E-12
TRINITY_DN1469_c0_g1	539.3861799	1.62839896	0.120904557	6.13E-44	1.36E-40
TRINITY_DN965_c1_g1	201.8830938	1.577018708	0.159719901	1.68E-25	1.60E-22
TRINITY_DN2550_c0_g1	45.08315277	1.501570366	0.258776415	2.64E-11	4.88E-09
TRINITY_DN2375_c0_g1	105.5972616	1.445935874	0.17423401	6.31E-19	2.80E-16
TRINITY_DN7252_c0_g1	133.5985282	1.325827266	0.181720854	3.59E-15	1.14E-12
TRINITY_DN4564_c1_g4	21.99073013	1.310158406	0.344133854	8.22E-07	5.47E-05
TRINITY_DN4325_c0_g1	234.1294947	1.296480187	0.140446264	4.04E-22	2.69E-19
TRINITY_DN792_c0_g1	58.23710301	1.286209006	0.230297449	3.28E-10	4.83E-08
TRINITY_DN332_c0_g1	40.97493991	1.276203529	0.280538846	6.20E-08	5.50E-06
TRINITY_DN6083_c0_g1	30.07057668	1.229260302	0.304853397	5.93E-07	4.07E-05
TRINITY_DN23_c0_g2	31.93842627	1.229122105	0.277010512	1.29E-07	1.10E-05
TRINITY_DN511_c0_g2	342.3904394	1.201630739	0.113893331	1.43E-27	1.91E-24
TRINITY_DN10086_c1_g1	58.00533907	1.199560642	0.246282609	2.24E-08	2.30E-06
TRINITY_DN228_c1_g1	25.08119145	1.169657207	0.337988258	4.39E-06	0.000245342
TRINITY_DN5792_c0_g1	15.84990271	1.163022779	0.449288681	2.68E-05	0.001135635
TRINITY_DN7400_c1_g1	48.46784132	1.156243602	0.236937184	2.73E-08	2.67E-06
TRINITY_DN2827_c0_g1	45.74158736	1.131643383	0.230039942	2.59E-08	2.57E-06
TRINITY_DN27545_c0_g1	9.807567436	1.115325172	0.574574205	6.59E-05	0.002372197
TRINITY_DN5083_c0_g1	449.6318959	1.108698019	0.140182008	1.27E-16	4.96E-14
TRINITY_DN30034_c0_g1	4.641497365	1.106693712	0.969181425	1.42E-06	NA
TRINITY_DN24119_c0_g1	34.11072643	1.106448788	0.263382032	5.90E-07	4.07E-05
TRINITY_DN280_c1_g1	394.7730804	1.104114591	0.111433522	2.00E-24	1.48E-21
TRINITY_DN2151_c0_g1	99.70016684	1.100502955	0.166505713	1.86E-12	3.75E-10
TRINITY_DN6410_c0_g3	39.31218123	1.086501548	0.255463014	5.32E-07	3.77E-05
TRINITY_DN3091_c0_g1	20.40772874	1.083651116	0.365032965	1.97E-05	0.000874466
TRINITY_DN623_c0_g1	46.54392184	1.0491475	0.237250238	3.27E-07	2.53E-05
TRINITY_DN906_c0_g2	680.6861422	1.033896857	0.13509471	1.47E-15	5.44E-13
TRINITY_DN2403_c0_g1	58.53501131	1.030032089	0.207731163	3.52E-08	3.40E-06
TRINITY_DN4319_c0_g2	17.55769999	1.024609871	0.396003582	5.16E-05	0.001964722
TRINITY_DN2927_c3_g1	75.0342428	1.022726358	0.225373139	2.29E-07	1.86E-05
TRINITY_DN1296_c0_g1	497.4192904	1.005911906	0.135108552	8.36E-15	2.53E-12
TRINITY_DN563_c0_g2	31.03997324	0.988627913	0.282298563	8.03E-06	0.000405166
TRINITY_DN1896_c0_g1	20.49550434	0.987183541	0.388889411	6.58E-05	0.002372197
TRINITY_DN410_c0_g1	160.6743832	0.979632082	0.169713737	6.30E-10	8.39E-08
TRINITY_DN970_c0_g1	30.46551908	0.976385284	0.306648583	1.85E-05	0.000836579
TRINITY_DN1568_c0_g1	23.01767278	0.974590176	0.392969035	7.66E-05	0.002686257
TRINITY_DN29513_c0_g1	119.5352213	0.974176279	0.165399781	3.27E-10	4.83E-08
TRINITY_DN132_c2_g1	438.7101918	0.966156977	0.108221563	4.87E-20	2.49E-17
TRINITY_DN437_c0_g1	814.2773151	0.959304395	0.103715739	2.63E-21	1.59E-18
TRINITY_DN1101_c0_g1	237.5021231	0.958541739	0.130105484	1.89E-14	4.84E-12
